,Sequence name,Sequence length,Number of unique pitches,Max velocity,Min velocity,Avg velocity,Median velocity,Velocity std,Highest pitch,Lowest pitch,Avg pitch,Median pitch,Pitch std,Longest note (s),Shortest note (s),Avg duration (s),Median duration (s),Duration std
12,AbdelmoulaJS11,2273,59,100,3,46.12,45.0,14.32,88,28,57.03,59.0,12.92,19.6,0.03,0.58,0.25,1.09
13,AbdelmoulaJS12,3080,57,103,3,59.53,61.0,14.4,94,29,67.48,66.0,10.87,2.42,0.0,0.1,0.06,0.12
14,AbdelmoulaJS13,5672,70,108,2,60.14,60.0,16.89,101,29,64.67,65.0,13.19,2.68,0.0,0.15,0.09,0.19
15,AbdelmoulaJS15,7592,81,110,1,62.96,64.0,18.06,104,22,61.82,64.0,13.91,20.05,0.0,0.24,0.1,0.57
16,ADIG02,2272,68,104,7,74.91,76.0,11.1,100,25,63.91,65.0,12.81,0.86,0.0,0.1,0.09,0.09
17,ADIG03,11854,83,111,6,71.86,74.0,17.02,105,21,63.1,64.0,13.8,9.68,0.0,0.21,0.12,0.37
18,ADIG04,2072,55,104,9,73.48,71.0,15.67,88,25,64.73,66.0,10.55,8.78,0.0,0.63,0.37,0.72
19,ADIG05,8110,72,109,10,65.22,66.0,17.64,96,24,61.03,61.0,13.73,11.81,0.0,0.32,0.19,0.53
20,ADIG06,19689,77,119,6,74.07,76.0,16.53,103,25,63.93,63.0,12.56,5.87,0.0,0.17,0.09,0.27
21,ADIG08,5925,75,111,6,70.59,71.0,17.17,97,22,63.55,64.0,12.75,9.8,0.0,0.26,0.15,0.45
22,Ahfat01,1909,46,104,21,67.89,69.0,12.71,83,37,61.91,62.0,9.54,3.64,0.0,0.23,0.14,0.29
23,Ahfat02,2846,68,111,3,54.79,54.0,18.24,96,29,63.25,63.0,14.81,3.67,0.03,0.33,0.2,0.43
24,Ahfat03,6391,82,117,1,73.25,75.0,20.23,107,24,64.56,64.0,15.93,3.37,0.0,0.09,0.07,0.13
25,Ahfat04,5583,78,119,3,68.3,69.0,21.02,103,21,63.26,64.0,13.77,9.62,0.0,0.15,0.07,0.33
26,Ahn01,2912,68,103,3,50.48,50.0,16.97,96,29,62.99,63.0,14.8,2.83,0.02,0.29,0.15,0.38
27,Ahn02,3638,71,115,3,69.35,73.0,21.8,98,28,63.48,64.0,13.98,5.15,0.0,0.16,0.06,0.31
28,Ahn03,11992,80,117,2,67.05,69.0,21.32,107,24,69.72,69.0,16.32,4.64,0.0,0.11,0.06,0.2
29,AbdelmoulaJS06,1429,75,96,3,48.88,47.0,14.98,99,22,68.14,68.0,15.07,7.47,0.0,0.43,0.22,0.68
30,AbdelmoulaJS14,4197,72,111,2,64.9,66.0,19.1,102,27,65.15,65.0,13.05,21.01,0.0,0.4,0.21,0.65
31,ADIG01,2507,57,94,10,66.97,68.0,10.41,89,30,64.6,65.0,10.88,1.48,0.02,0.16,0.11,0.17
32,ADIG07,5141,77,106,6,63.22,65.0,16.61,101,24,66.74,67.0,15.55,6.81,0.0,0.17,0.1,0.31
33,Albright01,4422,81,110,2,52.05,51.0,18.77,105,23,71.01,73.0,12.8,4.47,0.0,0.13,0.07,0.24
34,AndreevI01,6993,87,124,2,60.87,61.0,21.55,108,21,64.67,65.0,17.19,4.9,0.0,0.19,0.09,0.35
35,AndreevI09,7632,70,112,2,71.05,73.0,15.28,100,28,62.78,64.0,13.81,2.76,0.0,0.12,0.07,0.16
36,Arciglione01,4645,85,123,3,59.74,59.0,18.65,105,21,66.2,67.0,16.31,5.45,0.02,0.11,0.07,0.22
37,Arciglione07,763,56,85,19,49.66,48.0,13.34,93,25,64.14,65.0,12.5,4.81,0.03,0.6,0.3,0.76
38,Atzinger01,1275,62,98,3,52.17,50.0,17.64,95,30,64.05,66.0,13.39,4.65,0.03,0.47,0.39,0.47
39,Duepree02,2231,70,115,3,69.41,70.0,12.8,101,25,63.93,65.0,12.88,2.61,0.0,0.09,0.06,0.14
40,Duepree03,10237,80,126,1,68.17,70.0,17.62,105,21,67.62,66.0,16.74,12.86,0.0,0.1,0.05,0.39
41,Duepree04,2945,47,105,4,68.58,69.0,12.15,84,36,62.46,63.0,9.96,4.98,0.02,0.3,0.21,0.36
42,Duepree05,6361,68,118,3,67.56,69.0,19.45,96,29,62.01,63.0,15.83,7.34,0.0,0.18,0.08,0.31
43,Duepree06,2239,71,120,3,74.83,75.0,12.82,100,24,63.85,65.0,12.88,2.75,0.0,0.09,0.07,0.15
44,Duepree07,5547,80,123,3,72.41,73.0,19.12,103,24,71.71,72.0,16.95,5.67,0.0,0.13,0.05,0.32
45,Albright02,4534,71,112,3,63.28,64.0,19.33,100,28,63.59,64.0,13.54,6.29,0.0,0.23,0.09,0.42
46,Albright03,2421,68,98,3,61.07,63.0,15.07,101,30,72.09,74.0,13.56,4.36,0.0,0.11,0.07,0.23
47,Albright04,4133,76,118,2,69.39,70.0,18.84,104,27,76.78,78.0,16.23,2.85,0.0,0.07,0.04,0.14
48,Ali01,5080,76,110,1,62.49,64.5,19.46,101,22,65.22,65.0,14.34,5.73,0.0,0.16,0.09,0.28
49,Ali02,3282,64,105,2,58.2,58.0,17.26,96,29,64.03,65.0,13.15,5.45,0.0,0.2,0.1,0.33
50,Ali03,4103,77,113,2,64.53,65.0,19.09,107,27,76.94,78.0,15.94,1.71,0.0,0.07,0.05,0.1
51,GalantM02,3486,60,95,4,60.83,63.0,15.27,89,29,66.26,67.0,11.57,2.43,0.0,0.13,0.07,0.2
52,GalantM03,1353,57,89,3,53.39,55.0,14.53,89,29,65.39,67.0,11.17,6.36,0.02,0.54,0.36,0.71
53,GalantM04,1861,50,98,10,63.69,65.0,14.28,93,36,68.18,69.0,11.26,2.78,0.02,0.12,0.06,0.19
54,GalantM05,8200,77,117,1,65.24,66.0,19.07,100,23,61.34,63.0,12.76,8.83,0.0,0.27,0.13,0.37
55,Giesbrecht02,2826,61,123,3,69.81,72.0,19.15,89,29,61.15,61.0,12.09,35.39,0.0,0.34,0.1,1.73
56,Giesbrecht03,2193,67,111,2,71.27,73.0,16.54,97,25,65.52,68.0,13.65,0.41,0.0,0.08,0.06,0.05
57,Giesbrecht04,4927,80,117,2,71.03,72.0,18.8,105,21,67.83,69.0,12.84,3.92,0.0,0.13,0.09,0.17
58,Gintov01,6392,68,126,2,66.87,67.0,19.86,96,29,61.88,63.0,15.87,9.49,0.0,0.18,0.08,0.39
59,Gintov02,2143,64,122,2,75.1,77.0,17.32,92,24,57.54,55.0,14.75,3.35,0.0,0.17,0.08,0.31
60,AndreevI10,5120,68,107,2,58.03,55.0,22.0,97,29,62.9,64.0,12.5,6.92,0.0,0.33,0.21,0.44
61,AndreevI11,6405,59,108,1,61.14,62.0,21.31,91,31,62.38,64.0,12.51,4.21,0.0,0.16,0.09,0.19
62,AndreevI12,5919,65,111,3,58.08,57.0,17.81,100,31,65.71,66.0,11.67,5.65,0.0,0.14,0.09,0.21
63,AndreevI13,4152,59,100,5,57.13,57.0,16.33,89,29,61.71,64.0,14.22,4.03,0.0,0.31,0.14,0.45
64,AndreevI14,9727,72,121,2,65.49,66.0,20.82,95,22,61.16,63.0,12.9,8.16,0.0,0.27,0.12,0.43
65,AndreevI15,2611,68,114,3,70.16,74.0,19.85,95,25,63.5,65.0,13.0,5.97,0.0,0.37,0.2,0.48
66,AndreevI16,1726,61,113,2,63.03,63.0,20.78,89,22,59.02,61.0,12.6,2.99,0.0,0.18,0.08,0.26
67,AndreevI17,1381,56,99,6,48.45,46.0,15.36,87,26,63.45,65.0,11.14,8.16,0.02,0.52,0.31,0.69
68,AndreevI18,4009,68,121,2,69.38,70.0,19.9,91,24,59.76,61.0,13.16,2.76,0.0,0.16,0.08,0.23
69,AndreevI02,11891,87,124,2,63.58,64.0,20.27,108,21,64.51,64.0,15.27,5.72,0.0,0.17,0.08,0.32
70,AndreevI03,5733,82,122,3,49.89,48.0,19.1,103,22,66.17,66.0,12.87,8.37,0.0,0.31,0.11,0.6
71,AndreevI04,1696,67,111,3,45.73,44.0,14.66,100,25,67.51,67.0,12.7,8.37,0.03,0.34,0.15,0.68
72,AndreevI05,1297,63,91,3,39.41,38.0,13.39,95,23,68.37,69.0,11.57,7.6,0.04,0.69,0.41,0.83
73,AndreevI06,2740,78,122,3,57.44,57.0,20.63,103,22,64.29,64.0,13.27,4.53,0.0,0.11,0.06,0.18
74,AndreevI07,23835,76,126,2,68.12,70.0,20.12,101,24,62.67,63.0,12.92,7.65,0.0,0.18,0.06,0.32
75,AndreevI08,25076,71,112,1,62.8,65.0,19.8,100,28,63.39,64.0,12.8,6.92,0.0,0.18,0.1,0.27
76,Arciglione02,3705,67,124,3,65.99,67.0,18.6,95,24,61.75,62.0,13.72,14.45,0.02,0.29,0.11,0.59
77,Arciglione03,3865,60,115,4,68.85,69.0,16.92,89,28,60.76,62.0,13.12,2.57,0.02,0.15,0.07,0.22
78,Arciglione04,2264,67,117,3,72.54,73.0,15.18,100,25,64.07,66.0,12.9,2.22,0.01,0.09,0.07,0.12
79,Arciglione05,17876,76,114,2,64.75,66.0,19.98,100,24,62.41,63.0,13.29,12.97,0.01,0.2,0.09,0.38
80,Arciglione06,4154,55,106,3,68.46,70.0,14.04,87,31,65.67,67.0,11.52,1.83,0.02,0.11,0.07,0.17
81,Arciglione08,392,47,73,10,46.02,45.0,11.38,101,34,67.86,70.0,15.47,14.14,0.02,0.65,0.29,1.3
82,Arciglione09,1591,66,90,3,49.01,49.0,15.62,100,26,64.99,67.0,14.31,6.07,0.02,0.17,0.1,0.35
83,Arciglione10,2320,49,109,3,53.93,53.0,16.8,97,34,66.71,65.0,9.4,8.0,0.01,0.17,0.05,0.62
84,Arciglione11,2947,85,118,2,62.01,62.0,19.78,105,21,67.15,68.0,16.91,4.04,0.01,0.08,0.06,0.15
85,Arciglione12,3648,66,114,2,62.96,63.0,19.02,92,24,61.62,62.0,13.52,15.99,0.02,0.29,0.11,0.62
86,Arciglione13,5126,80,123,3,68.75,70.0,19.49,102,22,63.71,65.0,15.88,3.29,0.02,0.16,0.08,0.25
87,Arciglione14,16964,73,115,2,62.34,63.0,19.19,100,28,65.29,64.0,13.19,7.31,0.0,0.22,0.11,0.35
88,Goh02,2879,68,99,3,53.8,55.0,15.85,96,29,63.2,63.0,14.76,4.07,0.02,0.31,0.17,0.39
89,Goh03,2411,65,94,3,49.11,47.0,18.22,102,29,60.97,61.0,10.61,5.0,0.02,0.26,0.15,0.38
90,Goh04,1880,72,112,2,57.58,58.0,16.29,103,26,63.94,64.0,13.25,3.44,0.0,0.2,0.12,0.29
91,Gokcin01,3815,71,105,3,57.12,57.0,19.61,96,24,58.66,58.0,12.52,10.21,0.0,0.33,0.2,0.6
92,Gokcin02,4863,74,100,3,62.61,64.0,14.89,99,25,62.54,64.0,12.47,3.17,0.0,0.2,0.12,0.25
93,Gokcin03,2418,68,99,3,60.38,62.0,13.73,101,30,72.13,75.0,13.57,2.91,0.0,0.1,0.08,0.17
94,Gokcin04,2110,69,110,4,67.94,69.0,14.04,98,28,68.71,71.0,13.81,0.5,0.0,0.07,0.06,0.04
95,Goldberg01,1531,53,104,3,59.95,61.0,16.58,88,30,66.72,68.0,10.65,6.17,0.02,0.19,0.11,0.34
96,Goldberg02,4454,77,125,1,70.06,71.0,21.48,104,28,65.3,65.0,16.47,1.5,0.0,0.1,0.06,0.12
97,Atzinger02,4605,78,120,2,67.65,70.0,20.89,99,21,62.01,64.0,13.72,7.1,0.0,0.35,0.17,0.51
98,Atzinger03,2589,66,107,3,67.37,69.0,16.34,100,24,60.81,60.0,13.54,3.71,0.0,0.1,0.08,0.19
99,Atzinger04,1396,49,101,3,52.17,51.0,15.87,106,52,73.1,73.0,7.77,6.49,0.0,0.3,0.19,0.36
100,Atzinger05,3813,87,124,2,77.38,79.0,19.61,107,21,64.82,66.0,15.58,8.16,0.0,0.13,0.09,0.2
101,Avdeeva02,1360,73,102,7,75.59,76.0,10.41,101,24,69.06,71.0,17.06,3.19,0.02,0.21,0.09,0.47
102,Avdeeva03,9643,82,114,3,68.65,70.0,19.28,105,21,67.41,66.0,16.79,12.54,0.01,0.12,0.06,0.37
103,Avdeeva06,8521,76,112,3,62.42,64.0,20.86,99,21,62.0,63.0,13.24,8.68,0.02,0.44,0.26,0.57
104,Avdeeva07,9728,83,118,2,67.89,69.0,19.27,107,21,67.45,66.0,16.84,12.23,0.0,0.12,0.06,0.38
105,Avdeeva08,10139,82,122,3,70.28,73.0,21.14,103,21,60.91,62.0,15.32,29.93,0.0,0.24,0.07,0.56
106,Avila01,2370,42,106,3,61.34,62.0,16.53,89,43,69.29,71.0,9.12,3.95,0.02,0.2,0.12,0.26
107,Avila02,3406,74,118,3,73.98,76.0,20.34,103,27,64.08,63.0,15.43,4.22,0.01,0.14,0.06,0.29
108,Avila03,4424,74,126,2,66.51,70.0,23.49,96,21,63.79,64.0,14.55,6.65,0.01,0.32,0.11,0.51
109,Bach01,2715,51,92,12,63.86,67.0,14.9,89,29,66.06,67.0,10.89,3.17,0.02,0.16,0.09,0.26
110,Bach02,1659,58,107,3,71.63,73.0,12.95,99,30,71.4,73.0,14.65,1.27,0.02,0.08,0.06,0.1
111,Bach04,2046,64,102,5,55.9,54.0,15.26,97,29,69.92,71.0,12.89,11.81,0.02,0.37,0.2,0.72
112,BENABD02,2345,72,99,6,67.23,68.0,11.98,101,25,69.14,69.0,15.48,2.2,0.0,0.1,0.07,0.17
113,BENABD03,1180,59,99,9,55.46,52.0,17.85,91,24,57.86,59.5,12.61,5.71,0.02,0.41,0.25,0.6
114,BENABD04,6328,75,106,6,69.97,72.0,14.43,101,24,65.24,65.0,12.38,3.02,0.0,0.1,0.07,0.14
115,BENABD05,6138,84,120,6,69.93,72.0,15.88,105,21,66.74,68.0,16.07,1.84,0.0,0.07,0.05,0.11
116,BENABD06,9267,83,119,6,74.5,77.0,17.27,104,21,60.6,61.0,13.47,7.09,0.0,0.14,0.05,0.37
117,BENABD08,1181,59,99,11,55.92,52.0,17.36,91,24,57.91,60.0,12.62,8.14,0.03,0.42,0.26,0.68
118,BENABD09,2856,72,105,8,66.76,68.0,14.04,105,24,67.62,69.0,11.99,1.34,0.0,0.13,0.08,0.14
119,BENABD10,6410,75,110,6,70.54,72.0,15.9,101,24,65.41,65.0,12.41,2.7,0.0,0.11,0.07,0.15
120,Benabdallah01,4029,62,107,3,70.67,72.0,14.46,91,27,63.87,65.0,12.45,4.5,0.02,0.17,0.07,0.27
121,Benabdallah02,2328,70,102,3,69.96,72.0,12.48,101,26,69.22,69.0,15.51,2.18,0.02,0.11,0.08,0.17
122,Benabdallah03,3799,74,101,3,58.18,58.0,13.96,105,27,65.39,66.0,11.41,6.26,0.02,0.31,0.14,0.51
123,Benabdallah04,6735,80,113,3,74.84,77.0,17.28,103,23,67.26,68.0,15.53,6.49,0.0,0.12,0.06,0.22
124,Benabdallah06,5848,72,115,2,72.65,75.0,15.49,104,24,64.78,65.0,11.51,9.62,0.01,0.16,0.07,0.42
125,Benabdallah07,6773,80,119,1,74.94,77.0,18.74,103,24,67.27,68.0,15.61,7.09,0.0,0.11,0.05,0.21
126,Benabdallah08,7716,80,108,2,60.76,61.0,15.11,105,24,64.99,66.0,11.93,7.81,0.02,0.28,0.13,0.46
127,Benabdallah09,11691,83,122,2,69.7,71.0,18.83,105,21,63.46,64.0,13.75,6.51,0.0,0.19,0.09,0.33
128,BianF02,3821,74,115,3,59.83,60.0,18.93,102,22,61.72,63.0,13.51,6.19,0.0,0.17,0.09,0.32
129,BianF03,7533,59,102,3,59.51,61.0,15.15,89,29,66.91,69.0,11.42,5.11,0.0,0.32,0.14,0.45
130,BianF04,3158,56,102,3,62.9,64.0,13.71,89,31,66.23,67.0,11.45,5.11,0.0,0.18,0.1,0.26
131,BianF05,1656,56,93,3,54.0,56.0,14.95,89,29,65.48,67.0,11.27,4.54,0.03,0.65,0.39,0.68
132,BianF06,2719,57,97,3,58.92,60.0,15.78,89,29,68.58,70.0,11.26,3.63,0.0,0.29,0.16,0.33
133,BianF07,13850,80,113,3,58.36,58.0,18.77,103,22,61.69,62.0,12.05,7.75,0.0,0.33,0.18,0.52
134,BianF08,5280,67,113,3,58.06,57.0,18.71,98,26,60.42,60.0,11.18,7.7,0.0,0.32,0.15,0.54
135,BianF09,5095,73,110,3,63.43,64.0,17.26,103,27,63.09,65.0,13.04,3.56,0.0,0.19,0.12,0.24
136,BianF10,3475,71,105,3,51.37,50.0,18.68,96,22,61.56,62.0,11.58,7.75,0.03,0.56,0.36,0.67
137,BianF11,5887,87,119,3,64.99,66.0,18.2,107,21,68.7,69.0,16.69,5.88,0.0,0.17,0.06,0.35
138,KyykhynenT04,2754,50,106,9,74.83,75.0,10.89,84,33,63.31,65.0,11.41,2.13,0.0,0.13,0.1,0.17
139,KyykhynenT05,8476,73,121,3,69.83,71.0,16.52,100,28,63.87,65.0,13.93,6.79,0.0,0.28,0.11,0.47
140,KyykhynenT06,1301,63,107,10,60.9,60.0,16.77,95,30,64.05,66.0,13.3,4.84,0.0,0.54,0.41,0.56
141,KyykhynenT07,2611,67,112,3,72.98,74.0,15.18,96,29,64.36,67.0,14.73,4.11,0.0,0.19,0.08,0.26
142,KyykhynenT08,4564,71,121,6,70.57,71.0,16.31,100,28,63.54,64.0,13.62,6.79,0.0,0.27,0.09,0.51
143,KyykhynenT09,2351,71,107,5,73.55,75.0,11.87,101,25,69.23,69.0,15.5,2.0,0.0,0.11,0.07,0.19
144,KyykhynenT10,3364,77,112,2,78.54,81.0,15.2,103,24,68.18,69.0,16.64,4.03,0.0,0.12,0.08,0.2
145,KyykhynenT11,3442,63,106,3,66.7,68.0,17.26,103,29,63.89,64.0,11.53,4.63,0.0,0.29,0.21,0.39
146,BianF13,5567,70,103,3,54.01,53.0,17.51,100,30,64.34,66.0,14.77,4.69,0.0,0.35,0.16,0.48
147,BianF14,3010,67,98,3,53.55,51.0,18.43,95,28,63.79,64.0,12.76,2.89,0.0,0.29,0.17,0.32
148,BianF15,2650,54,99,2,58.42,59.0,16.6,93,33,63.03,64.0,11.57,1.27,0.0,0.15,0.07,0.17
149,BianF16,6364,64,98,3,59.36,60.0,14.83,98,30,66.02,67.0,11.88,4.33,0.0,0.14,0.09,0.21
150,BLINOV01,2947,54,91,7,66.42,70.0,13.77,89,34,67.06,67.0,10.57,2.66,0.0,0.15,0.09,0.19
151,BLINOV02,5179,82,112,6,59.43,58.0,19.54,105,22,64.28,66.0,14.02,14.92,0.0,0.31,0.13,0.62
152,BLINOV03,2284,67,113,6,74.3,75.0,13.68,100,25,63.92,65.0,12.93,2.19,0.0,0.11,0.09,0.13
153,BLINOV04,2809,49,101,6,66.05,67.0,11.81,84,29,62.59,63.0,9.96,5.41,0.0,0.39,0.27,0.4
154,BLINOV06,10108,85,122,6,65.79,65.0,19.71,106,22,64.93,65.0,14.51,12.93,0.0,0.21,0.09,0.41
155,Bogdanovitch01,3278,55,101,5,68.48,71.0,14.67,89,31,65.14,66.0,11.09,1.73,0.0,0.12,0.08,0.16
156,Bogdanovitch02,4109,78,117,2,72.46,74.0,17.58,104,26,76.74,78.0,15.96,1.23,0.01,0.06,0.05,0.07
157,Bogdanovitch03,7835,80,110,3,73.39,78.0,17.32,106,21,62.22,64.0,13.55,4.14,0.02,0.21,0.11,0.29
158,BorickC01,2235,48,100,3,60.83,60.0,15.01,84,37,64.45,66.0,10.28,8.37,0.02,0.65,0.41,0.72
159,BorickC02,3324,61,107,15,64.85,65.0,15.1,89,29,68.07,70.0,11.92,2.9,0.02,0.19,0.09,0.3
160,BorickC03,4010,77,111,3,67.1,69.5,20.93,101,22,60.74,61.0,14.84,7.49,0.0,0.29,0.15,0.45
161,BrendleA01,2034,47,103,8,67.39,68.0,11.57,84,36,62.83,64.0,10.2,13.23,0.04,0.54,0.28,0.74
162,BrendleA02,8087,72,118,3,60.38,62.0,19.86,96,24,60.93,61.0,13.74,12.52,0.0,0.34,0.22,0.53
163,BrendleA03,2921,68,102,8,58.18,59.0,15.12,96,29,62.92,63.0,14.86,3.56,0.0,0.31,0.17,0.41
164,BrendleA04,1362,63,118,13,72.19,72.0,17.27,94,29,63.25,65.0,13.94,5.18,0.0,0.16,0.1,0.29
165,BrendleA05,3802,70,111,3,57.84,61.0,22.28,96,24,58.57,58.0,12.32,12.52,0.0,0.43,0.29,0.63
166,BrendleA06,3455,66,115,2,76.55,77.0,14.08,92,24,64.29,67.0,13.44,1.35,0.0,0.09,0.06,0.1
167,BrendleA07,5736,67,108,3,67.29,70.0,16.48,93,23,61.62,64.0,12.26,9.68,0.0,0.29,0.16,0.47
168,Broberg01,2624,64,112,3,59.06,59.0,15.34,96,29,64.07,65.0,13.19,3.49,0.0,0.23,0.1,0.35
169,Broberg02,1595,68,113,3,73.56,73.0,14.04,97,24,59.48,59.0,15.97,2.17,0.0,0.13,0.08,0.19
170,Broberg03,6943,81,109,3,63.72,65.0,16.81,106,26,60.17,61.0,16.9,9.16,0.0,0.23,0.09,0.52
171,BuiJL02,3264,59,110,3,61.78,65.0,19.54,89,30,60.66,62.0,11.79,2.52,0.0,0.1,0.07,0.14
172,BuiJL03,4085,75,117,3,65.83,66.0,18.79,102,27,77.01,78.0,16.0,1.97,0.0,0.06,0.04,0.09
173,BuiJL04,5049,75,114,3,65.61,70.0,22.79,101,26,65.17,65.0,14.14,7.67,0.01,0.2,0.1,0.37
174,BuiJL06,2363,68,102,3,45.45,42.0,19.07,100,29,63.4,64.0,13.83,3.84,0.02,0.32,0.19,0.41
175,BuiJL07,9398,79,114,3,59.18,60.0,20.89,103,24,67.96,68.0,14.7,8.41,0.01,0.14,0.07,0.28
176,BuiJL08,4642,80,113,3,59.13,58.0,20.48,105,21,67.76,68.0,12.66,4.09,0.01,0.12,0.07,0.18
177,Bult-ItoS01,3094,72,104,3,61.44,61.0,15.83,102,30,69.03,69.0,13.01,3.39,0.0,0.14,0.07,0.22
178,Bult-ItoS02,1949,47,90,4,61.28,62.0,13.61,84,36,61.63,62.0,9.66,9.45,0.03,0.48,0.28,0.58
179,Bult-ItoS03,4347,61,109,4,70.53,73.0,16.28,89,29,64.3,65.0,11.96,6.72,0.0,0.21,0.07,0.49
180,Bult-ItoS04,2111,65,107,15,73.57,75.0,14.94,92,24,57.59,55.0,14.71,3.2,0.02,0.17,0.09,0.27
181,Cai01,6249,68,120,3,66.23,67.0,20.52,96,29,62.21,63.0,15.84,8.54,0.01,0.15,0.07,0.3
182,Cai02,3043,71,114,3,62.21,61.0,22.95,100,24,59.79,62.0,13.44,8.89,0.0,0.2,0.07,0.57
183,Cai03,7092,82,126,2,75.29,78.0,20.74,106,21,64.5,64.0,16.14,6.4,0.0,0.09,0.05,0.23
184,CaiC01,4031,60,113,3,67.59,69.0,16.11,89,30,63.66,64.0,12.49,2.39,0.0,0.18,0.08,0.26
185,CaiC02,2480,68,103,5,63.33,64.0,13.72,101,30,72.19,75.0,13.5,3.65,0.0,0.09,0.06,0.19
186,CaiC03,4884,81,111,2,53.61,51.0,16.07,105,23,71.47,73.0,12.34,5.54,0.0,0.15,0.07,0.27
187,CaiC05,7737,86,115,1,63.46,63.0,19.84,107,21,62.62,63.0,17.66,5.55,0.0,0.12,0.06,0.28
188,CaiC06,978,42,89,29,59.43,59.0,10.03,83,34,64.74,66.0,9.93,0.75,0.02,0.14,0.11,0.11
189,PrjevalskayaM02,1987,54,97,9,61.51,63.0,16.48,89,31,67.31,68.0,10.93,8.65,0.0,0.43,0.17,0.72
190,PrjevalskayaM03,2822,57,103,13,72.61,74.0,12.46,89,31,65.73,67.0,11.67,3.78,0.0,0.11,0.06,0.16
191,PrjevalskayaM04,15958,86,121,2,57.47,57.0,19.56,106,21,64.49,65.0,14.49,21.34,0.0,0.25,0.09,0.67
192,PrjevalskayaM05,1207,72,117,11,52.0,51.0,14.37,105,24,66.61,67.0,13.37,12.31,0.0,0.3,0.12,0.98
193,PrjevalskayaM06,685,68,97,14,47.48,45.0,14.17,97,22,63.27,64.0,14.69,11.09,0.03,0.61,0.23,1.01
194,PrjevalskayaM07,962,55,111,3,54.46,51.0,19.98,91,25,56.4,58.0,13.25,13.11,0.0,0.49,0.17,1.03
195,PrjevalskayaM08,1670,64,109,3,55.11,56.0,17.64,97,31,68.63,69.0,10.88,6.44,0.02,0.16,0.07,0.38
196,Avdeeva05,7000,61,99,3,62.06,63.0,15.52,89,29,67.5,69.0,11.52,7.37,0.02,0.27,0.1,0.52
197,Bach03,7726,74,118,3,68.99,71.0,19.06,101,26,60.96,62.0,11.41,7.01,0.01,0.21,0.09,0.42
198,BENABD01,4053,61,104,6,69.0,70.0,15.03,89,27,63.85,65.0,12.49,4.47,0.0,0.17,0.07,0.27
199,BENABD07,7910,44,96,7,68.95,71.0,12.08,84,38,64.05,66.0,11.53,5.16,0.0,0.24,0.13,0.4
200,Benabdallah05,8965,82,126,2,73.7,75.0,18.17,104,21,60.49,61.0,13.36,6.8,0.0,0.14,0.05,0.36
201,BianF01,2404,44,93,4,61.12,62.0,11.63,83,37,61.1,62.0,9.88,5.69,0.03,0.35,0.16,0.47
202,BianF12,17591,72,103,2,56.53,57.0,16.83,100,28,64.65,66.0,13.01,4.69,0.0,0.23,0.12,0.34
203,BLINOV05,16522,81,119,6,72.0,77.0,20.44,104,24,63.33,66.0,15.52,10.81,0.0,0.22,0.08,0.5
204,BorickC04,2594,66,121,3,67.12,67.0,15.99,100,24,60.37,60.0,13.54,4.06,0.01,0.1,0.06,0.22
205,BrendleA08,16658,83,126,1,71.35,74.0,18.49,103,21,63.74,63.0,16.25,9.13,0.0,0.22,0.09,0.41
206,BuiJL01,2168,48,94,5,48.48,47.0,15.96,84,37,64.28,66.0,10.37,9.53,0.02,0.66,0.46,0.69
